data,hora,natureza,situacao,bairro,endereco,numero,detalhe_endereco_acidente,complemento,bairro_cruzamento,num_semaforo,sentido_via,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1,divisao_via2,divisao_via3
2020-09-03 00:00:00,13:01:00,COM VÍTIMA,FINALIZADA,BONGI,AV ENGENHEIRO ABDIAS DE CARVALHO,,EST DOS REMEDIOS,EM FRENTE AO BOB'S,BONGI,52,CIDADE,ABALROAMENTO LONGITUDINAL,COLISÃO AUTO E MOTONETA / AGENTE DIEGO ELVAS NO LOCAL,1,1,,,,,,,,1,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,,Dupla,Canteiro central,,
2020-09-03 00:00:00,17:43:00,COM VÍTIMA,FINALIZADA,CASA AMARELA,RUA CONS PERETTI,234,RUA MAJOR AFONSO LEAL,NA MESMA RUA DA BIBLIOTECA PUBLICA DE CASA AMARELA,CASA AMARELA,,,COLISÃO COM CICLISTA,VEICULO E BICICLETA,1,,,1,,,,,,1,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Placas Pare,,,Não existe,,
2020-09-03 00:00:00,19:14:00,COM VÍTIMA,FINALIZADA,BOA VISTA,RUA DO RIACHUELO,,RUA GERVASIO PIRES,,BOA VISTA,175,SUBURBIO,ABALROAMENTO TRANSVERSAL,AUTO E MOTO,1,1,,,,,,,,1,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,,Única,Faixa contínua,,
2020-09-03 00:00:00,20:07:00,COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV SUL,,,AO LADO DA INTEGRAÇÃO TANCREDO NEVES- SENTIDO BOA VIAGEM. ALÇA DE RETORNO.,IMBIRIBEIRA,,SUBURBIO,COLISÃO TRASEIRA,COLISÃO ENTRE DOIS AUTOS C/V,2,,,,,,,,,1,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Blocos,,
2020-09-03 00:00:00,21:46:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,AV DOM JOAO VI,,,NA DESCIDA- SENTIDO AV ANTÔNIO FALCÃO- NA ALÇA DO VIADUTO. DECLIVE.,BOA VIAGEM,,SUBURBIO,COLISÃO TRASEIRA,COLISÃO ENTRE DOIS AUTOS C/V,2,,,,,,,,,2,Viaduto,Chuvoso,Não existe,Perfeito estado,Molhada,Perfeito estado,Não existe,Não há placas,,Única,Não existe,,
2020-09-04 00:00:00,00:49:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,3856,RUA BRUNO VELOSO,PISTA DA ESQUERDA,BOA VIAGEM,338,SUBURBIO,COLISÃO,VEÍCULO COLIDIU NA TRASEIRA DE OUTRO,2,,,,,,,,,0,Longo da via,Bom,,,,,Não existe,Não há placas,,Única,Canteiro central,,
2020-09-04 00:00:00,07:26:00,COM VÍTIMA,FINALIZADA,SANTO AMARO,AV GOVERNADOR AGAMENON MAGALHAES,,,NO SENTIDO DERBY  AO LADO DO SHOPPING TACARUNA- LADO OPOSTO A FÁBRICA TACARUNA.,SANTO AMARO,,CIDADE,ATROPELAMENTO,VITIMA SOCORRIDA PELOS BOMBEIROS,1,,,,1,,,,,1,Longo da via,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Canteiro central,,
2020-09-04 00:00:00,07:54:00,COM VÍTIMA,FINALIZADA,CAJUEIRO,AV CIDADE DE MONTEIRO,159,,PROX AO ARMAZEM CORAL EM FRENTE AO INOCOOP.,CAJUEIRO,,CIDADE,ABALROAMENTO LONGITUDINAL,COLISÃO COM VITIMAS A ESPERA DO SAMU,1,1,,,,,,,,2,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,40 km/h,Dupla,Faixa contínua,,
2020-09-04 00:00:00,10:20:00,COM VÍTIMA,FINALIZADA,CAMPO GRANDE,RUA SAO CAETANO,394,RUA GUAICURUS,PROX. AO SUPERMERCADO STYLLO,CAMPO GRANDE,,SUBURBIO,ABALROAMENTO TRANSVERSAL,MOTO E AUTO,1,1,,,,,,,,1,Cruzamento,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Não existe,,
2020-09-04 00:00:00,12:51:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,AV VINTE DE JANEIRO,1041,,PROX ANTIGA SADIA,BOA VIAGEM,,SUBURBIO,CHOQUE VEÍCULO PARADO,COLISAO ENTRE AUTO- MOTO E CAMINHÃO.,1,1,,,,,1,,,1,Longo da via,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Não existe,,
2020-09-04 00:00:00,15:30:00,SEM VÍTIMA,FINALIZADA,BARRO,AV DR JOSE RUFINO,2288,,EM FRENTE A IGREJA DO BARRO,BARRO,539,SUBURBIO,COLISÃO,COLISÃO SEM VÍTIMA/ VEÍCULO OFICIAL,1,,,,,,,1,,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,40 km/h,Dupla,Não existe,,
