data,hora,natureza,bairro,endereco,num_semaforo,sentido_via,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,sinalizacao,condicao_via,conservacao_via,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1
2020-01-11 00:00:00,15:24:00,SEM VÍTIMA,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,,,COLISÃO,COLISÃO SEM VITIMA,1,,,,,,1,,,0,,,,,,,,,
2020-01-11 00:00:00,15:39:00,SEM VÍTIMA,IPSEP,AV RECIFE,55,SUBURBIO,COLISÃO TRASEIRA,COLISAO ENTRE DOIS AUTOS S/V,2,,,,,,,,,0,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,Não há placas,,Dupla,Canteiro central
2020-01-11 00:00:00,15:51:00,COM VÍTIMA,SANTO ANTÔNIO,RUA PRIMEIRO DE MARCO,15,SUBURBIO,ABALROAMENTO LONGITUDINAL,COLISÃO COM VITIMA,,1,,,,,,1,,1,Cruzamento,Bom,Perfeito estado,Seca,Perfeito estado,Não há placas,,Única,Não existe
2020-01-11 00:00:00,15:53:00,SEM VÍTIMA,ARRUDA,AV PROFESSOR JOSE DOS ANJOS,,SUBURBIO,COLISÃO TRASEIRA,COLISÃO SEM VÍTIMA,2,,,,,,,,,0,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,Outras,,Única,Canal
2020-01-11 00:00:00,16:10:00,SEM VÍTIMA,TEJIPIÓ,AV DR JOSE RUFINO,156,SUBURBIO,ABALROAMENTO TRANSVERSAL,COLISÃO SEM VÍTIMA,1,1,,,,,,,,0,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,R-6a,,Dupla,Faixa contínua
2020-01-11 00:00:00,16:15:00,SEM VÍTIMA,IBURA,RUA ROSARIO D'OESTE,,,COLISÃO,COLISÃO SEM VITIMA,1,,,,,,,,1,0,,,,,,,,,
2020-01-11 00:00:00,16:19:00,SEM VÍTIMA,IBURA,AV DOIS RIOS,,SUBURBIO,COLISÃO FRONTAL,COLISAO ENTRE AUTO E MOTO S/V,1,1,,,,,,,,0,Longo da via,Bom,Não existente,Seca,Perfeito estado,Não há placas,,Dupla,Faixa contínua
2020-01-11 00:00:00,17:25:00,COM VÍTIMA,BARRO,AV DR JOSE RUFINO,,SUBURBIO,ABALROAMENTO LONGITUDINAL,COLISAO ENTRE AUTO E MOTO COM UMA VITIMA,1,1,,,,,,,,1,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,R-6a,,Dupla,Faixa seccionada
2020-01-11 00:00:00,18:32:00,SEM VÍTIMA,SANTO AMARO,AV CRUZ CABUGA,,,COLISÃO,ENTRE 2 AUTOS. S/V,2,,,,,,,,,0,,,,,,,,,
2020-01-11 00:00:00,19:06:00,SEM VÍTIMA,GRAÇAS,RUA CONS PORTELA,,SUBURBIO,COLISÃO TRASEIRA,ENTRE 4 AUTOS. S/V,4,,,,,,,,,0,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,R-6a,,Única,Faixa seccionada
2020-01-11 00:00:00,19:21:00,COM VÍTIMA,AFOGADOS,RUA SAO MIGUEL,,,COLISÃO,ENTRE AUTO E MOTO. C/V,1,1,,,,,,,,1,,,,,,,,,
2020-01-11 00:00:00,19:50:00,SEM VÍTIMA,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,,BOA VIAGEM,COLISÃO,COLISAO SEM VITIMAS,2,,,,,,,,,0,,,,,,,,,
2020-01-11 00:00:00,20:19:00,SEM VÍTIMA,BREJO DE BEBERIBE,AV VEREADOR OTACILIO AZEVEDO,,CIDADE,COLISÃO FRONTAL,ENTRE 2 AUTOS. S/V,2,,,,,,,,,0,Longo da via,Bom,Incompleta,Seca,Perfeito estado,Outras,,Dupla,Faixa contínua
2020-01-11 00:00:00,19:54:00,COM VÍTIMA,ALTO JOSÉ DO PINHO,RUA CECILIA REIS,,SUBURBIO,CHOQUE VEÍCULO PARADO,COLISAO COM VITIMAS/ ENTRE UM CAMINHAO E MOTO COM ATROPELAMENTO DE UMA CRIANÇA,,1,,,,,1,,,2,Cruzamento,Bom,Não existente,Seca,Perfeito estado,Não há placas,,Dupla,Não existe
2020-01-11 00:00:00,20:00:00,SEM VÍTIMA,BOA VIAGEM,RUA DOS NAVEGANTES,,SUBURBIO,ABALROAMENTO TRANSVERSAL,COLISAO SEM VITIMAS,2,,,,,,,,,0,Cruzamento,Bom,Incompleta,Seca,Perfeito estado,Outras,,Única,Não existe
